wavelength,QE
158.3233532934132, 0.2046790140648893
160.47904191616766, 1.8324188831639017
160.47904191616766, 3.367302604094138
162.63473053892216, 5.320623868541986
164.79041916167665, 7.878596295780533
165.5089820359281, 9.69249408160423
168.38323353293413, 11.645759643503688
168.38323353293413, 13.50622475978276
169.8203592814371, 15.552624982592954
171.97604790419163, 17.552457874947777
171.2574850299401, 19.087397298426403
173.4131736526946, 20.52909065589751
175.56886227544908, 22.621946804066287
175.56886227544908, 24.435900292438383
178.44311377245506, 26.528700738058767
178.4431137724551, 28.435677482244817
181.31736526946102, 29.50522211391171
183.47305389221557, 30.202729424871187
189.22155688622755, 30.713911711460803
197.8443113772455, 30.666731652973123
203.59281437125748, 29.55000696281855
209.34131736526945, 28.433282272663977
217.2455089820359, 27.36290210277121
224.43113772455092, 26.43211251914775
229.4610778443114, 25.73404818270436
236.64670658682633, 24.710235343266955
240.95808383233532, 24.198273220999866
245.9880239520958, 23.825790279905306
250.29940119760474, 24.151037459963796
255.32934131736522, 24.6622754491018
261.07784431137725, 25.266480991505365
265.3892215568862, 25.77777468319176
271.13772455089827, 26.381980225595328
280.47904191616766, 26.799860743629022
289.82035928143716, 27.171229633755747
297.7245508982036, 27.449686673165296
309.9401197604791, 27.681297869377534
319.28143712574854, 27.866620247876337
327.9041916167664, 27.912463445202622
337.9640718562874, 27.77214872580421
345.1497005988023, 27.58554518869239
353.77245508982037, 27.445341874390756
360.9580838323353, 27.30524996518591
369.5808383233533, 27.21155827879126
379.6407185628742, 27.02473193148587
386.82634730538916, 26.559058626932185
394.0119760479042, 26.04687369447153
399.76047904191614, 25.581311795014628
407.66467065868267, 24.836513020470687
413.4131736526946, 24.370951121013785
420.5988023952096, 23.53318479320429
427.0658682634731, 22.74198579585016
432.0958083832336, 22.229967971034675
437.12574850299404, 21.624926890405238
441.43712574850304, 20.973429884417214
445.74850299401203, 20.461467762150114
450.0598802395209, 20.042528895696982
454.3712574850299, 19.34452026180198
457.2455089820359, 18.646623033003763
464.43113772455087, 17.808856705194266
470.8982035928144, 17.06416933574711
476.6467065868263, 16.552095808383235
481.67664670658684, 15.993566355660775
488.14371257485027, 15.434925497841528
495.3293413173653, 14.783205681659936
501.07784431137725, 14.317643782203037
508.98203592814366, 13.572845007659101
514.7305389221556, 12.688678457039412
516.1676646706587, 12.037404261244957
518.3233532934131, 11.293051107088147
523.3532934131736, 10.455451886923832
526.9461077844312, 9.664475699763262
529.820359281437, 8.873555215151095
533.4131736526947, 7.9430441442696
539.8802395209581, 7.105333519008498
544.191616766467, 6.5933713967414
548.5029940119759, 5.895362762846403
554.251497005988, 5.336777607575549
562.1556886227545, 4.685002088845563
569.3413173652696, 4.12630552847792
575.808383233533, 3.567664670658688
582.2754491017965, 3.1020470686533703
589.4610778443114, 2.589862136192716
596.6467065868264, 1.9846539479181167
603.8323353293413, 1.5189806433644244
612.4550898203593, 1.0066843058069912
621.0778443113774, 0.6339228519704703
631.1377245508982, 0.26104999303715726
641.1976047904193, 0.12073527363876835
